game_id,club_id,own_goals,own_position,opponent_id,opponent_goals,opponent_position,result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,away_win_h2h,draw_h2h,home_win_h2h_d,away_win_h2h_d,home_home_win,away_away_win,home_last_5_game_win,home_last_5_game_lose,home_last_5_game_draw,away_last_5_game_win,away_last_5_game_lose,away_last_5_game_draw,date
3219375,29,1,17.0,148,1,11.0,2,413.0,0.2,827.0,0.2,0.0588235294117647,0.0909090909090909,0.12,0.44,0.44,0.08,0.04,0.6,0.0,0.2,0.8,0.0,0.0,1.0,0.0,2019-11-03
3050402,29,1,9.0,543,3,7.0,0,413.0,0.2,410.0,0.2,0.1111111111111111,0.4285714285714285,0.25,0.5833333333333334,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.4,0.4,0.6,0.4,0.0,0.0,0.8,0.2,2019-02-02
2486623,29,3,10.0,1039,1,18.0,1,413.0,0.0,10.0,0.2,0.3,0.0555555555555555,0.8,0.0,0.2,0.6,0.2,0.4,0.0,0.2,0.6,0.2,0.0,0.8,0.2,2014-12-15
3219326,29,3,14.0,631,1,4.0,1,413.0,0.2,1004.0,0.0,0.2142857142857142,0.25,0.32,0.48,0.2,0.32,0.0,0.2,0.6,0.2,0.6,0.2,0.2,0.4,0.4,2019-12-07
2486643,29,0,12.0,512,1,11.0,0,413.0,0.0,19.0,0.0,0.0,0.0909090909090909,0.5,0.25,0.25,0.3333333333333333,0.1666666666666666,0.6,0.2,0.2,0.6,0.2,0.0,0.6,0.4,2014-12-26
2258958,29,1,6.0,631,2,3.0,0,413.0,0.0,1004.0,0.0,0.1666666666666666,0.6666666666666666,0.32,0.48,0.2,0.32,0.0,0.6,0.6,0.6,0.0,0.4,0.4,0.6,0.0,2012-12-30
3050432,29,0,11.0,281,2,2.0,0,413.0,0.2,1351.0,0.0,0.0,1.0,0.08,0.68,0.24,0.08,0.0,0.4,0.4,0.4,0.6,0.0,0.2,0.8,0.0,2019-02-06
4095178,29,1,20.0,1237,1,7.0,2,413.0,0.8,571.0,0.8,0.05,0.1428571428571428,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.4,0.2,0.6,0.4,0.0,0.0,0.8,0.2,2023-11-04
2225722,29,1,6.0,512,0,13.0,1,413.0,0.0,19.0,0.0,0.1666666666666666,0.0,0.5,0.25,0.25,0.3333333333333333,0.1666666666666666,0.6,0.0,0.6,0.4,0.0,0.0,1.0,0.0,2013-03-30
3592025,29,3,4.0,1132,1,18.0,1,413.0,0.2,288.0,0.2,0.75,0.0555555555555555,0.5882352941176471,0.3529411764705882,0.0588235294117647,0.4117647058823529,0.1764705882352941,0.4,0.4,0.6,0.2,0.2,0.0,1.0,0.0,2021-09-13
